bookNumber,chapterNumber,totalVerses
1 Chronicles,13,001,054
1 Chronicles,13,002,055
1 Chronicles,13,003,024
1 Chronicles,13,004,043
1 Chronicles,13,005,026
1 Chronicles,13,006,081
1 Chronicles,13,007,040
1 Chronicles,13,008,040
1 Chronicles,13,009,044
1 Chronicles,13,010,014
1 Chronicles,13,011,047
1 Chronicles,13,012,040
1 Chronicles,13,013,014
1 Chronicles,13,014,017
1 Chronicles,13,015,029
1 Chronicles,13,016,043
1 Chronicles,13,017,027
1 Chronicles,13,018,017
1 Chronicles,13,019,019
1 Chronicles,13,020,008
1 Chronicles,13,021,030
1 Chronicles,13,022,019
1 Chronicles,13,023,032
1 Chronicles,13,024,031
1 Chronicles,13,025,031
1 Chronicles,13,026,032
1 Chronicles,13,027,034
1 Chronicles,13,028,021
1 Chronicles,13,029,030
2 Chronicles,14,001,017
2 Chronicles,14,002,018
2 Chronicles,14,003,017
2 Chronicles,14,004,022
2 Chronicles,14,005,014
2 Chronicles,14,006,042
2 Chronicles,14,007,022
2 Chronicles,14,008,018
2 Chronicles,14,009,031
2 Chronicles,14,010,019
2 Chronicles,14,011,023
2 Chronicles,14,012,016
2 Chronicles,14,013,022
2 Chronicles,14,014,015
2 Chronicles,14,015,019
2 Chronicles,14,016,014
2 Chronicles,14,017,019
2 Chronicles,14,018,034
2 Chronicles,14,019,011
2 Chronicles,14,020,037
2 Chronicles,14,021,020
2 Chronicles,14,022,012
2 Chronicles,14,023,021
2 Chronicles,14,024,027
2 Chronicles,14,025,028
2 Chronicles,14,026,023
2 Chronicles,14,027,009
2 Chronicles,14,028,027
2 Chronicles,14,029,036
2 Chronicles,14,030,027
2 Chronicles,14,031,021
2 Chronicles,14,032,033
2 Chronicles,14,033,025
2 Chronicles,14,034,033
2 Chronicles,14,035,027
2 Chronicles,14,036,023
Ezra,15,001,011
Ezra,15,002,070
Ezra,15,003,013
Ezra,15,004,024
Ezra,15,005,017
Ezra,15,006,022
Ezra,15,007,028
Ezra,15,008,036
Ezra,15,009,015
Ezra,15,010,044
Nehemiah,16,001,011
Nehemiah,16,002,020
Nehemiah,16,003,032
Nehemiah,16,004,023
Nehemiah,16,005,019
Nehemiah,16,006,019
Nehemiah,16,007,073
Nehemiah,16,008,018
Nehemiah,16,009,038
Nehemiah,16,010,039
Nehemiah,16,011,036
Nehemiah,16,012,047
Nehemiah,16,013,031
Esther,17,001,022
Esther,17,002,023
Esther,17,003,015
Esther,17,004,017
Esther,17,005,014
Esther,17,006,014
Esther,17,007,010
Esther,17,008,017
Esther,17,009,032
Esther,17,010,003
Job,18,001,022
Job,18,002,013
Job,18,003,026
Job,18,004,021
Job,18,005,027
Job,18,006,030
Job,18,007,021
Job,18,008,022
Job,18,009,035
Job,18,010,022
Job,18,011,020
Job,18,012,025
Job,18,013,028
Job,18,014,022
Job,18,015,035
Job,18,016,022
Job,18,017,016
Job,18,018,021
Job,18,019,029
Job,18,020,029
Job,18,021,034
Job,18,022,030
Job,18,023,017
Job,18,024,025
Job,18,025,006
Job,18,026,014
Job,18,027,023
Job,18,028,028
Job,18,029,025
Job,18,030,031
Job,18,031,040
Job,18,032,022
Job,18,033,033
Job,18,034,037
Job,18,035,016
Job,18,036,033
Job,18,037,024
Job,18,038,041
Job,18,039,030
Job,18,040,024
Job,18,041,034
Job,18,042,017
Psalms,19,001,006
Psalms,19,002,012
Psalms,19,003,008
Psalms,19,004,008
Psalms,19,005,012
Psalms,19,006,010
Psalms,19,007,017
Psalms,19,008,009
Psalms,19,009,020
Psalms,19,010,018
Psalms,19,011,007
Psalms,19,012,008
Psalms,19,013,006
Psalms,19,014,007
Psalms,19,015,005
Psalms,19,016,011
Psalms,19,017,015
Psalms,19,018,050
Psalms,19,019,014
Psalms,19,020,009
Psalms,19,021,013
Psalms,19,022,031
Psalms,19,023,006
Psalms,19,024,010
Psalms,19,025,022
Psalms,19,026,012
Psalms,19,027,014
Psalms,19,028,009
Psalms,19,029,011
Psalms,19,030,012
Psalms,19,031,024
Psalms,19,032,011
Psalms,19,033,022
Psalms,19,034,022
Psalms,19,035,028
Psalms,19,036,012
Psalms,19,037,040
Psalms,19,038,022
Psalms,19,039,013
Psalms,19,040,017
Psalms,19,041,013
Psalms,19,042,011
Psalms,19,043,005
Psalms,19,044,026
Psalms,19,045,017
Psalms,19,046,011
Psalms,19,047,009
Psalms,19,048,014
Psalms,19,049,020
Psalms,19,050,023
Psalms,19,051,019
Psalms,19,052,009
Psalms,19,053,006
Psalms,19,054,007
Psalms,19,055,023
Psalms,19,056,013
Psalms,19,057,011
Psalms,19,058,011
Psalms,19,059,017
Psalms,19,060,012
Psalms,19,061,008
Psalms,19,062,012
Psalms,19,063,011
Psalms,19,064,010
Psalms,19,065,013
Psalms,19,066,020
Psalms,19,067,007
Psalms,19,068,035
Psalms,19,069,036
Psalms,19,070,005
Psalms,19,071,024
Psalms,19,072,020
Psalms,19,073,028
Psalms,19,074,023
Psalms,19,075,010
Psalms,19,076,012
Psalms,19,077,020
Psalms,19,078,072
Psalms,19,079,013
Psalms,19,080,019
Psalms,19,081,016
Psalms,19,082,008
Psalms,19,083,018
Psalms,19,084,012
Psalms,19,085,013
Psalms,19,086,017
Psalms,19,087,007
Psalms,19,088,018
Psalms,19,089,052
Psalms,19,090,017
Psalms,19,091,016
Psalms,19,092,015
Psalms,19,093,005
Psalms,19,094,023
Psalms,19,095,011
Psalms,19,096,013
Psalms,19,097,012
Psalms,19,098,009
Psalms,19,099,009
Psalms,19,100,005
Psalms,19,101,008
Psalms,19,102,028
Psalms,19,103,022
Psalms,19,104,035
Psalms,19,105,045
Psalms,19,106,048
Psalms,19,107,043
Psalms,19,108,013
Psalms,19,109,031
Psalms,19,110,007
Psalms,19,111,010
Psalms,19,112,010
Psalms,19,113,009
Psalms,19,114,008
Psalms,19,115,018
Psalms,19,116,019
Psalms,19,117,002
Psalms,19,118,029
Psalms,19,119,176
Psalms,19,120,007
Psalms,19,121,008
Psalms,19,122,009
Psalms,19,123,004
Psalms,19,124,008
Psalms,19,125,005
Psalms,19,126,006
Psalms,19,127,005
Psalms,19,128,006
Psalms,19,129,008
Psalms,19,130,008
Psalms,19,131,003
Psalms,19,132,018
Psalms,19,133,003
Psalms,19,134,003
Psalms,19,135,021
Psalms,19,136,026
Psalms,19,137,009
Psalms,19,138,008
Psalms,19,139,024
Psalms,19,140,013
Psalms,19,141,010
Psalms,19,142,007
Psalms,19,143,012
Psalms,19,144,015
Psalms,19,145,021
Psalms,19,146,010
Psalms,19,147,020
Psalms,19,148,014
Psalms,19,149,009
Psalms,19,150,006
Proverbs,20,001,033
Proverbs,20,002,022
Proverbs,20,003,035
Proverbs,20,004,027
Proverbs,20,005,023
Proverbs,20,006,035
Proverbs,20,007,027
Proverbs,20,008,036
Proverbs,20,009,018
Proverbs,20,010,032
Proverbs,20,011,031
Proverbs,20,012,028
Proverbs,20,013,025
Proverbs,20,014,035
Proverbs,20,015,033
Proverbs,20,016,033
Proverbs,20,017,028
Proverbs,20,018,024
Proverbs,20,019,029
Proverbs,20,020,030
Proverbs,20,021,031
Proverbs,20,022,029
Proverbs,20,023,035
Proverbs,20,024,034
Proverbs,20,025,028
Proverbs,20,026,028
Proverbs,20,027,027
Proverbs,20,028,028
Proverbs,20,029,027
Proverbs,20,030,033
Proverbs,20,031,031
Ecclesiastes,21,001,018
Ecclesiastes,21,002,026
Ecclesiastes,21,003,022
Ecclesiastes,21,004,016
Ecclesiastes,21,005,020
Ecclesiastes,21,006,012
Ecclesiastes,21,007,029
Ecclesiastes,21,008,017
Ecclesiastes,21,009,018
Ecclesiastes,21,010,020
Ecclesiastes,21,011,010
Ecclesiastes,21,012,014
Song of Solomon,22,001,017
Song of Solomon,22,002,017
Song of Solomon,22,003,011
Song of Solomon,22,004,016
Song of Solomon,22,005,016
Song of Solomon,22,006,013
Song of Solomon,22,007,013
Song of Solomon,22,008,014
Isaiah,23,001,031
Isaiah,23,002,022
Isaiah,23,003,026
Isaiah,23,004,006
Isaiah,23,005,030
Isaiah,23,006,013
Isaiah,23,007,025
Isaiah,23,008,022
Isaiah,23,009,021
Isaiah,23,010,034
Isaiah,23,011,016
Isaiah,23,012,006
Isaiah,23,013,022
Isaiah,23,014,032
Isaiah,23,015,009
Isaiah,23,016,014
Isaiah,23,017,014
Isaiah,23,018,007
Isaiah,23,019,025
Isaiah,23,020,006
Isaiah,23,021,017
Isaiah,23,022,025
Isaiah,23,023,018
Isaiah,23,024,023
Isaiah,23,025,012
Isaiah,23,026,021
Isaiah,23,027,013
Isaiah,23,028,029
Isaiah,23,029,024
Isaiah,23,030,033
Isaiah,23,031,009
Isaiah,23,032,020
Isaiah,23,033,024
Isaiah,23,034,017
Isaiah,23,035,010
Isaiah,23,036,022
Isaiah,23,037,038
Isaiah,23,038,022
Isaiah,23,039,008
Isaiah,23,040,031
Isaiah,23,041,029
Isaiah,23,042,025
Isaiah,23,043,028
Isaiah,23,044,028
Isaiah,23,045,025
Isaiah,23,046,013
Isaiah,23,047,015
Isaiah,23,048,022
Isaiah,23,049,026
Isaiah,23,050,011
Isaiah,23,051,023
Isaiah,23,052,015
Isaiah,23,053,012
Isaiah,23,054,017
Isaiah,23,055,013
Isaiah,23,056,012
Isaiah,23,057,021
Isaiah,23,058,014
Isaiah,23,059,021
Isaiah,23,060,022
Isaiah,23,061,011
Isaiah,23,062,012
Isaiah,23,063,019
Isaiah,23,064,012
Isaiah,23,065,025
Isaiah,23,066,024
Jeremiah,24,001,019
Jeremiah,24,002,037
Jeremiah,24,003,025
Jeremiah,24,004,031
Jeremiah,24,005,031
Jeremiah,24,006,030
Jeremiah,24,007,034
Jeremiah,24,008,022
Jeremiah,24,009,026
Jeremiah,24,010,025
Jeremiah,24,011,023
Jeremiah,24,012,017
Jeremiah,24,013,027
Jeremiah,24,014,022
Jeremiah,24,015,021
Jeremiah,24,016,021
Jeremiah,24,017,027
Jeremiah,24,018,023
Jeremiah,24,019,015
Jeremiah,24,020,018
Jeremiah,24,021,014
Jeremiah,24,022,030
Jeremiah,24,023,040
Jeremiah,24,024,010
Jeremiah,24,025,038
Jeremiah,24,026,024
Jeremiah,24,027,022
Jeremiah,24,028,017
Jeremiah,24,029,032
Jeremiah,24,030,024
Jeremiah,24,031,040
Jeremiah,24,032,044
Jeremiah,24,033,026
Jeremiah,24,034,022
Jeremiah,24,035,019
Jeremiah,24,036,032
Jeremiah,24,037,021
Jeremiah,24,038,028
Jeremiah,24,039,018
Jeremiah,24,040,016
Jeremiah,24,041,018
Jeremiah,24,042,022
Jeremiah,24,043,013
Jeremiah,24,044,030
Jeremiah,24,045,005
Jeremiah,24,046,028
Jeremiah,24,047,007
Jeremiah,24,048,047
Jeremiah,24,049,039
Jeremiah,24,050,046
Jeremiah,24,051,064
Jeremiah,24,052,034
Lamentations,25,001,022
Lamentations,25,002,022
Lamentations,25,003,066
Lamentations,25,004,022
Lamentations,25,005,022
Ezekiel,26,001,028
Ezekiel,26,002,010
Ezekiel,26,003,027
Ezekiel,26,004,017
Ezekiel,26,005,017
Ezekiel,26,006,014
Ezekiel,26,007,027
Ezekiel,26,008,018
Ezekiel,26,009,011
Ezekiel,26,010,022
Ezekiel,26,011,025
Ezekiel,26,012,028
Ezekiel,26,013,023
Ezekiel,26,014,023
Ezekiel,26,015,008
Ezekiel,26,016,063
Ezekiel,26,017,024
Ezekiel,26,018,032
Ezekiel,26,019,014
Ezekiel,26,020,049
Ezekiel,26,021,032
Ezekiel,26,022,031
Ezekiel,26,023,049
Ezekiel,26,024,027
Ezekiel,26,025,017
Ezekiel,26,026,021
Ezekiel,26,027,036
Ezekiel,26,028,026
Ezekiel,26,029,021
Ezekiel,26,030,026
Ezekiel,26,031,018
Ezekiel,26,032,032
Ezekiel,26,033,033
Ezekiel,26,034,031
Ezekiel,26,035,015
Ezekiel,26,036,038
Ezekiel,26,037,028
Ezekiel,26,038,023
Ezekiel,26,039,029
Ezekiel,26,040,049
Ezekiel,26,041,026
Ezekiel,26,042,020
Ezekiel,26,043,027
Ezekiel,26,044,031
Ezekiel,26,045,025
Ezekiel,26,046,024
Ezekiel,26,047,023
Ezekiel,26,048,035
Daniel,27,001,021
Daniel,27,002,049
Daniel,27,003,030
Daniel,27,004,037
Daniel,27,005,031
Daniel,27,006,028
Daniel,27,007,028
Daniel,27,008,027
Daniel,27,009,027
Daniel,27,010,021
Daniel,27,011,045
Daniel,27,012,013
Hosea,28,001,011
Hosea,28,002,023
Hosea,28,003,005
Hosea,28,004,019
Hosea,28,005,015
Hosea,28,006,011
Hosea,28,007,016
Hosea,28,008,014
Hosea,28,009,017
Hosea,28,010,015
Hosea,28,011,012
Hosea,28,012,014
Hosea,28,013,016
Hosea,28,014,009
Joel,29,001,020
Joel,29,002,032
Joel,29,003,021
Amos,30,001,015
Amos,30,002,016
Amos,30,003,015
Amos,30,004,013
Amos,30,005,027
Amos,30,006,014
Amos,30,007,017
Amos,30,008,014
Amos,30,009,015
Obadiah,31,001,021
Jonah,32,001,017
Jonah,32,002,010
Jonah,32,003,010
Jonah,32,004,011
Micah,33,001,016
Micah,33,002,013
Micah,33,003,012
Micah,33,004,013
Micah,33,005,015
Micah,33,006,016
Micah,33,007,020
Nahum,34,001,015
Nahum,34,002,013
Nahum,34,003,019
Habakkuk,35,001,017
Habakkuk,35,002,020
Habakkuk,35,003,019
Zephaniah,36,001,018
Zephaniah,36,002,015
Zephaniah,36,003,020
Haggai,37,001,015
Haggai,37,002,023
Zechariah,38,001,021
Zechariah,38,002,013
Zechariah,38,003,010
Zechariah,38,004,014
Zechariah,38,005,011
Zechariah,38,006,015
Zechariah,38,007,014
Zechariah,38,008,023
Zechariah,38,009,017
Zechariah,38,010,012
Zechariah,38,011,017
Zechariah,38,012,014
Zechariah,38,013,009
Zechariah,38,014,021
Malachi,39,001,014
Malachi,39,002,017
Malachi,39,003,018
Malachi,39,004,006
Matthew,40,001,025
Matthew,40,002,023
Matthew,40,003,017
Matthew,40,004,025
Matthew,40,005,048
Matthew,40,006,034
Matthew,40,007,029
Matthew,40,008,034
Matthew,40,009,038
Matthew,40,010,042
Matthew,40,011,030
Matthew,40,012,050
Matthew,40,013,058
Matthew,40,014,036
Matthew,40,015,039
Matthew,40,016,028
Matthew,40,017,027
Matthew,40,018,035
Matthew,40,019,030
Matthew,40,020,034
Matthew,40,021,046
Matthew,40,022,046
Matthew,40,023,039
Matthew,40,024,051
Matthew,40,025,046
Matthew,40,026,075
Matthew,40,027,066
Matthew,40,028,020
Mark,41,001,045
Mark,41,002,028
Mark,41,003,035
Mark,41,004,041
Mark,41,005,043
Mark,41,006,056
Mark,41,007,037
Mark,41,008,038
Mark,41,009,050
Mark,41,010,052
Mark,41,011,033
Mark,41,012,044
Mark,41,013,037
Mark,41,014,072
Mark,41,015,047
Mark,41,016,020
Luke,42,001,080
Luke,42,002,052
Luke,42,003,038
Luke,42,004,044
Luke,42,005,039
Luke,42,006,049
Luke,42,007,050
Luke,42,008,056
Luke,42,009,062
Luke,42,010,042
Luke,42,011,054
Luke,42,012,059
Luke,42,013,035
Luke,42,014,035
Luke,42,015,032
Luke,42,016,031
Luke,42,017,037
Luke,42,018,043
Luke,42,019,048
Luke,42,020,047
Luke,42,021,038
Luke,42,022,071
Luke,42,023,056
Luke,42,024,053
John,43,001,051
John,43,002,025
John,43,003,036
John,43,004,054
John,43,005,047
John,43,006,071
John,43,007,053
John,43,008,059
John,43,009,041
John,43,010,042
John,43,011,057
John,43,012,050
John,43,013,038
John,43,014,031
John,43,015,027
John,43,016,033
John,43,017,026
John,43,018,040
John,43,019,042
John,43,020,031
John,43,021,025
Acts,44,001,026
Acts,44,002,047
Acts,44,003,026
Acts,44,004,037
Acts,44,005,042
Acts,44,006,015
Acts,44,007,060
Acts,44,008,040
Acts,44,009,043
Acts,44,010,048
Acts,44,011,030
Acts,44,012,025
Acts,44,013,052
Acts,44,014,028
Acts,44,015,041
Acts,44,016,040
Acts,44,017,034
Acts,44,018,028
Acts,44,019,041
Acts,44,020,038
Acts,44,021,040
Acts,44,022,030
Acts,44,023,035
Acts,44,024,027
Acts,44,025,027
Acts,44,026,032
Acts,44,027,044
Acts,44,028,031
Romans,45,001,032
Romans,45,002,029
Romans,45,003,031
Romans,45,004,025
Romans,45,005,021
Romans,45,006,023
Romans,45,007,025
Romans,45,008,039
Romans,45,009,033
Romans,45,010,021
Romans,45,011,036
Romans,45,012,021
Romans,45,013,014
Romans,45,014,023
Romans,45,015,033
Romans,45,016,027
1 Corinthians,46,001,031
1 Corinthians,46,002,016
1 Corinthians,46,003,023
1 Corinthians,46,004,021
1 Corinthians,46,005,013
1 Corinthians,46,006,020
1 Corinthians,46,007,040
1 Corinthians,46,008,013
1 Corinthians,46,009,027
1 Corinthians,46,010,033
1 Corinthians,46,011,034
1 Corinthians,46,012,031
1 Corinthians,46,013,013
1 Corinthians,46,014,040
1 Corinthians,46,015,058
1 Corinthians,46,016,024
2 Corinthians,47,001,024
2 Corinthians,47,002,017
2 Corinthians,47,003,018
2 Corinthians,47,004,018
2 Corinthians,47,005,021
2 Corinthians,47,006,018
2 Corinthians,47,007,016
2 Corinthians,47,008,024
2 Corinthians,47,009,015
2 Corinthians,47,010,018
2 Corinthians,47,011,033
2 Corinthians,47,012,021
2 Corinthians,47,013,014
Galatians,48,001,024
Galatians,48,002,021
Galatians,48,003,029
Galatians,48,004,031
Galatians,48,005,026
Galatians,48,006,018
Ephesians,49,001,023
Ephesians,49,002,022
Ephesians,49,003,021
Ephesians,49,004,032
Ephesians,49,005,033
Ephesians,49,006,024
Philippians,50,001,030
Philippians,50,002,030
Philippians,50,003,021
Philippians,50,004,023
Colossians,51,001,029
Colossians,51,002,023
Colossians,51,003,025
Colossians,51,004,018
1 Thessalonians,52,001,010
1 Thessalonians,52,002,020
1 Thessalonians,52,003,013
1 Thessalonians,52,004,018
1 Thessalonians,52,005,028
2 Thessalonians,53,001,012
2 Thessalonians,53,002,017
2 Thessalonians,53,003,018
1 Timothy,54,001,020
1 Timothy,54,002,015
1 Timothy,54,003,016
1 Timothy,54,004,016
1 Timothy,54,005,025
1 Timothy,54,006,021
2 Timothy,55,001,018
2 Timothy,55,002,026
2 Timothy,55,003,017
2 Timothy,55,004,022
Titus,56,001,016
Titus,56,002,015
Titus,56,003,015
Philemon,57,001,025
Hebrews,58,001,014
Hebrews,58,002,018
Hebrews,58,003,019
Hebrews,58,004,016
Hebrews,58,005,014
Hebrews,58,006,020
Hebrews,58,007,028
Hebrews,58,008,013
Hebrews,58,009,028
Hebrews,58,010,039
Hebrews,58,011,040
Hebrews,58,012,029
Hebrews,58,013,025
James,59,001,027
James,59,002,026
James,59,003,018
James,59,004,017
James,59,005,020
1 Peter,60,001,025
1 Peter,60,002,025
1 Peter,60,003,022
1 Peter,60,004,019
1 Peter,60,005,014
2 Peter,61,001,021
2 Peter,61,002,022
2 Peter,61,003,018
1 John,62,001,010
1 John,62,002,029
1 John,62,003,024
1 John,62,004,021
1 John,62,005,021
2 John,63,001,013
3 John,64,001,014
Jude,65,001,025
Revelation,66,001,020
Revelation,66,002,029
Revelation,66,003,022
Revelation,66,004,011
Revelation,66,005,014
Revelation,66,006,017
Revelation,66,007,017
Revelation,66,008,013
Revelation,66,009,021
Revelation,66,010,011
Revelation,66,011,019
Revelation,66,012,017
Revelation,66,013,018
Revelation,66,014,020
Revelation,66,015,008
Revelation,66,016,021
Revelation,66,017,018
Revelation,66,018,024
Revelation,66,019,021
Revelation,66,020,015
Revelation,66,021,027
Revelation,66,022,021
